timestep,frequency,period,aIndex,aName,x,y,z,scalar,i,j,k,dXB,dYB,dZB,dRoll,dPitch,dYaw
2379,9.931248727310612,237.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998059391975,-0.28886243701,8.02541921807e-10,-1.12283538023e-09,0.957370638847,1.66513949296e-08,-8.47155412487e-09,6.55544426991e-05,-1.0329729605e-07,4.70395544738e-09,1.04719257355
2380,9.880970498229612,238.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998053491116,-0.338078558445,2.72758726716e-09,1.58765189884e-09,0.941117942333,1.32675799236e-08,-8.19012946351e-09,6.05962995905e-05,1.68052253002e-07,-5.84676200788e-08,1.04719257355
2381,9.923072191387378,238.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998047411442,-0.387834846973,1.02301755955e-09,4.23442697572e-10,0.921728909016,8.32614421853e-09,-1.30143567034e-08,5.55366059416e-05,1.11084005994e-07,3.01199740704e-08,1.04719257355
2382,9.923823494617295,238.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998041510582,-0.435071110725,7.70574992703e-10,-2.69504329964e-09,0.900396108627,5.23114973561e-09,-1.32897843841e-08,5.02408583998e-05,3.49850175496e-08,-2.4978902502e-08,1.04719257355
2383,9.90308711204505,238.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998037278652,-0.482515364885,1.36377187321e-09,-1.42663325597e-10,0.875887572765,2.59213450704e-09,-1.15258389499e-08,4.56589332316e-05,-1.74441566969e-07,-9.6707992725e-09,1.04719257355
2384,9.857284202461557,238.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998033225536,-0.528583347797,1.56177770716e-09,-1.80165060648e-09,0.848881423473,1.64968136374e-10,-9.89745174707e-09,4.24860409112e-05,-1.28924540377e-07,3.72275295035e-08,1.04719257355
2385,9.902689634330613,238.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998029172421,-0.573144197464,-2.61026200654e-09,6.88196888365e-10,0.819454610348,-1.00524089053e-10,-8.29304980243e-09,3.919586743e-05,1.33560718041e-08,4.55438531333e-08,1.04719257355
2386,9.88371802575613,238.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998025238514,-0.614832818508,-4.75555372859e-09,-3.28913840608e-11,0.788657486439,5.97507421318e-09,-4.68159999656e-09,3.57783574145e-05,8.91931328795e-09,4.66365577267e-08,1.04719257355
2387,9.893813158714133,238.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998021185398,-0.656055867672,-3.91790955234e-09,1.54249524265e-09,0.754712343216,1.40238078927e-08,1.89118298799e-09,3.19560313073e-05,1.15205409656e-08,-1.30459980596e-07,1.04719257355
2388,9.931672018109662,238.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998018085957,-0.69540822506,3.85680688775e-11,8.90140405829e-10,0.71861499548,2.05336281311e-08,1.88161042303e-09,2.81852135231e-05,-1.37176584758e-07,-1.86462074225e-07,1.04719257355
2389,9.87001887263092,238.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998016119003,-0.731707513332,1.368285929e-09,-3.85005534398e-11,0.6816188097,1.91614262235e-08,9.35450605866e-10,2.65487087745e-05,-1.49766222535e-07,-1.45116260342e-07,1.04719257355
2390,9.921288302054604,239.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998014092445,-0.767049849033,-5.5964424206e-09,-6.59556853577e-09,0.641587495804,1.58658775007e-08,6.00811400631e-09,2.52712743531e-05,3.86662897256e-08,2.28629204457e-07,1.04719257355
2391,9.93249518685425,239.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998012125492,-0.799261868,-4.37890301797e-09,-1.59419352719e-10,0.600982904434,1.39025271295e-08,1.72722245395e-08,2.39151504502e-05,7.62543592714e-08,-4.40086935782e-08,1.04719257355
2392,9.886164144628294,239.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998010098934,-0.830203652382,7.76654685009e-10,-7.29722449133e-10,0.55746024847,1.42329881214e-08,2.05053325431e-08,2.23472998186e-05,1.47669894091e-07,-5.31736930043e-08,1.04719257355
2393,9.901263653381742,239.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998008072376,-0.858777821064,3.51239459739e-09,-1.58719160037e-09,0.512348234653,1.07937641047e-08,1.81013568579e-08,2.05605847441e-05,9.83463621651e-09,6.95581547916e-08,1.04719257355
2394,9.909380862152878,239.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998006105423,-0.884170651436,3.11450754076e-09,-2.36089103822e-09,0.467164129019,8.59835580513e-09,1.51330432629e-08,1.87724435818e-05,2.14377450902e-07,1.30468293946e-07,1.04719257355
2395,9.926430459673545,239.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998004078865,-0.907847821712,1.51233081613e-09,1.43657641338e-09,0.419299840927,5.44201528285e-09,1.06279269829e-08,1.68012102222e-05,2.86167363583e-07,-3.01803169123e-08,1.04719257355
2396,9.925467367125751,239.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998002052307,-0.928936362267,2.71217293069e-09,1.24717702832e-09,0.370239585638,5.6780318225e-09,7.74392638903e-09,1.47412811202e-05,1.26905433717e-07,-2.10158148661e-07,1.04719257355
