timestep,frequency,period,aIndex,aName,x,y,z,scalar,i,j,k,dXB,dYB,dZB,dRoll,dPitch,dYaw
90,19.720361654810546,4.0,-8,move_backward,-0.0531145147979,0.0921885594726,-9.89860439301,0.26036965847,0.0542163252831,-0.0502833425999,-0.96267336607,-0.856929957867,1.505382061,-0.238083362579,0.394812732935,3.06858420372,-0.00101723417174
91,19.759101530112307,4.0,-8,move_backward,-0.0942682921886,0.16811349988,-9.91338157654,0.263025075197,0.108491234481,-0.0343406125903,-0.958054363728,-0.750308692455,1.47904646397,-0.321674853563,-0.109422557056,1.21546900272,-0.000878815772012
92,19.741245575721063,4.0,-8,move_backward,-0.129497990012,0.243455216289,-9.92970466614,0.263455718756,0.112561270595,-0.0306278076023,-0.957592308521,-0.632762908936,1.47613346577,-0.309932529926,-0.278963804245,0.0998105034232,-0.000736531161238
93,19.722030742320296,4.0,-8,move_backward,-0.158978253603,0.318751126528,-9.94439506531,0.263630598783,0.111658573151,-0.0290140081197,-0.957700133324,-0.523987114429,1.47682917118,-0.263477444649,-0.180669918656,-0.229012444615,-0.000597632257268
94,19.67817213633911,4.0,-8,move_backward,-0.181764870882,0.389664053917,-9.95588111877,0.263784378767,0.10836263001,-0.0276128072292,-0.958077669144,-0.426110595465,1.47798955441,-0.214638069272,-0.033180527389,-0.118034131825,-0.000556966930162
95,19.478403016750956,4.0,-8,move_backward,-0.201864793897,0.469512283802,-9.96605682373,0.263923704624,0.10396900773,-0.026310749352,-0.958562731743,-0.319005787373,1.47941839695,-0.163090437651,-0.029246352613,-0.10809750855,-0.00051386130508
96,19.644163848740597,4.0,-8,move_backward,-0.214939922094,0.54055416584,-9.97288990021,0.264024823904,0.100526675582,-0.0253183096647,-0.958928763866,-0.226138204336,1.48068511486,-0.122625537217,-0.0724561065435,-0.131202325225,-0.000467768521048
97,19.676048937926893,4.0,-8,move_backward,-0.22400906682,0.616104662418,-9.97816371918,0.264102160931,0.0970863029361,-0.0245259739459,-0.959282457829,-0.129863157868,1.48204541206,-0.0852856189013,-0.0862095952034,-0.124062016606,-0.000418246490881
98,19.752494784381874,4.0,-8,move_backward,-0.228228360415,0.691724300385,-9.98168087006,0.264178484678,0.0936758443713,-0.0237258337438,-0.959620594978,-0.0360079444945,1.48340821266,-0.0535459183156,-0.0720487758517,-0.11493819952,-0.000377379270503
99,19.620363656776114,4.0,-8,move_backward,-0.227722719312,0.767412185669,-9.98371315002,0.264258921146,0.0903688967228,-0.0228616409004,-0.959936499596,0.0553984716535,1.48474133015,-0.0269216690212,-0.0587450526655,-0.112371169031,-0.000343156803865
100,19.593417014299263,5.0,-8,move_backward,-0.222619339824,0.843166708946,-9.98450374603,0.264335334301,0.0871860533953,-0.0220109801739,-0.960229694843,0.144295781851,1.4860329628,-0.00482267513871,-0.0571166202426,-0.109245367348,-0.000312866031891
101,19.452566356085097,5.0,-8,move_backward,-0.213047534227,0.91898649931,-9.9842710495,0.26440384984,0.0841164439917,-0.0212215222418,-0.960502326488,0.230638086796,1.48729002476,0.0133201247081,-0.0597244612873,-0.105107091367,-0.00028534620651
102,19.712298379516486,5.0,-8,move_backward,-0.199137955904,0.99486976862,-9.98320484161,0.264466255903,0.0811543613672,-0.0204757861793,-0.960756123066,0.314404398203,1.48851382732,0.0279998276383,-0.0593398250639,-0.101449623704,-0.000260583532508
103,19.57786936896988,5.0,-8,move_backward,-0.18102195859,1.07081437111,-9.98146629333,0.26452511549,0.0782930925488,-0.0197481382638,-0.960992574692,0.395593822002,1.4896992445,0.0396474413574,-0.0561709366739,-0.0980822741985,-0.000238595122937
104,19.6892571294449,5.0,-8,move_backward,-0.158830732107,1.14681816101,-9.97920417786,0.264580994844,0.0755274519324,-0.0190353002399,-0.961212873459,0.474217444658,1.49084198475,0.0486592799425,-0.0532052256167,-0.0947269052267,-0.00021904692403
105,19.66442562847525,5.0,-8,move_backward,-0.132694751024,1.22287929058,-9.97654056549,0.264633387327,0.0728560239077,-0.0183451920748,-0.961418092251,0.55029463768,1.49194014072,0.0554006248713,-0.0515001788735,-0.0914678201079,-0.000201473303605
106,19.567091973595204,5.0,-8,move_backward,-0.102743193507,1.29899525642,-9.97358417511,0.264682024717,0.0702772662044,-0.0176812894642,-0.961609065533,0.623854637146,1.49299311638,0.0601910687983,-0.0502528585494,-0.088332913816,-0.000185546872672
107,19.238779338846765,5.0,-8,move_backward,-0.0691035240889,1.37516391277,-9.97042751312,0.264727264643,0.0677878409624,-0.0170410797,-0.961786806583,0.694934427738,1.49400126934,0.0633162036538,-0.0487275235355,-0.085296317935,-0.000171090054209
108,19.691845425052936,5.0,-8,move_backward,-0.0296043902636,1.45586776733,-9.96695423126,0.264771997929,0.0652466118336,-0.0163862947375,-0.961961686611,0.767542004585,1.49501895905,0.0650869235396,-0.0471849106252,-0.0825032293797,-0.000157203481649
109,19.745985415205283,5.0,-8,move_backward,0.00874116364866,1.52764940262,-9.96381568909,0.264809280634,0.0630663558841,-0.0158224683255,-0.962106227875,0.82983738184,1.49588024616,0.0655425414443,-0.0452041178942,-0.0793414190412,-0.000145987796714
110,19.568461323131473,5.0,-8,move_backward,0.0527029335499,1.60396170616,-9.96048164368,0.264846295118,0.060823533684,-0.0152415409684,-0.962249755859,0.893764913082,1.49675095081,0.0650661736727,-0.0437855497003,-0.0768593773246,-0.000135120149935
111,19.646096124931496,5.0,-8,move_backward,0.0998666658998,1.68031728268,-9.95719337463,0.264880806208,0.0586621426046,-0.014681299217,-0.962383151054,0.955414950848,1.4975758791,0.0637599006295,-0.0423822589219,-0.0740980356932,-0.000125112390378
112,19.706556160084194,5.0,-8,move_backward,0.150117769837,1.75671386719,-9.9539899826,0.2649127841,0.0565759204328,-0.0141402799636,-0.962507426739,1.01484775543,1.49835574627,0.0617821067572,-0.0409290008247,-0.0714302435517,-0.000115928152809
113,19.731030135388146,5.0,-8,move_backward,0.203344672918,1.83314883709,-9.95090007782,0.264942765236,0.0545632131398,-0.0136171607301,-0.962622880936,1.07212471962,1.4990913868,0.0592633746564,-0.0394886545837,-0.0689363703132,-0.000107484622276
114,19.753332014656156,5.0,-8,move_backward,0.259439051151,1.90962064266,-9.94795131683,0.264970719814,0.0526245459914,-0.0131119107828,-0.962730169296,1.12730944157,1.49978351593,0.0563206225634,-0.038432393223,-0.0668616592884,-9.96656090138e-05
115,19.607706008573658,5.0,-8,move_backward,0.318295776844,1.98612654209,-9.94516086578,0.264996558428,0.0507523864508,-0.0126241641119,-0.962830007076,1.18046295643,1.50043320656,0.0530528314412,-0.0371199958026,-0.0643490925431,-9.24789492274e-05
